Famille,Modèle,Nom produit,Variante,URL,Cadence de frappe 1,Cadence de frappe 2,Cadence de frappe max (cps/min),Cap. Bois/métal/béton [mm],Capacité acier (mm),Capacité batterie (Ah),Capacité bois (mm),Capacité béton (mm),Capacité de coupe,Capacité mandrin (mm),Capacité pierre (mm),Chargeur fourni,Chargeur inclus,Couple blocage statique (Nm),Couple max (Nm),Diamètre de perçage max avec une  scie cloche (mm),Diamètre de perçage max avec une mèche bois (mm),Diamètre de perçage max dans le bois (mm),Emballage,Inclus dans le kit,Livré avec,Niveau de pression acoustique (Lpa)(dB(A)),Niveau de puissance acoustique (Lwa)(dB(A)),Niveau de puissance acoustique mesuré  (dB(A)),Niveau de vibration (m/s²),Nombre de batterie(s),Numéro EAN,Poids (kg),Poids avec batterie (EPTA) (kg),Puissance absorbée (W),Réf,Réglages vitesse,Tension (V),Tolérance de vibration de perçage (m/s²),Tolérance de vibration de perçage dans le béton (m/s²),Tolérance de vibration de perçage dans le métal (m/s²),Tolérance de vibration de vissage (m/s²),Tolérance du niveau de pression acoustique  (dB(A)),Tolérance du niveau de puissance acoustique  (dB(A)),Tolérance du niveau de puissance acoustique mesuré  (dB(A)),Type de batterie,Vibration de perçage dans le béton (m/s²),Vibration de perçage dans le métal (m/s²),Vibration de vissage (m/s²),Vibration percussion drilling into concrete [m|s²],Vibration percussion drilling into concrete uncertainty [m|s²],Vibrations perçage (m/s²),Vis bois (mm),Vitesse à vide (tr/min),Vitesse à vide en vitesse 1 (tr/min),Vitesse à vide en vitesse 2 (tr/min)
Perceuses à percussion,M18 BLPDRC,M18™ BRUSHLESS PERCEUSE À PERCUSSION COMPACTE,M18 BLPDRC-0,https://fr.milwaukeetool.eu/fr-fr/m18-brushless-perceuse-a-percussion-compacte/m18-blpdrc/,,,"25,500",,13,,52,,,13,16,,Aucun chargeur fourni,,60.5,,,,Aucun sac ni box fourni,,Clip de ceinture,,,,,,4058546476915,1.0,1.5 (M18 B5),,4933492820,2,18,,,,,,,,Li-ion,,,,,,,,1700,0 - 550,"0 - 1,700"
Perceuses à percussion,M18 ONEPD3,M18 FUEL™ PERCEUSE À PERCUSSION ONE-KEY™ AVEC AUTOSTOP™,M18 ONEPD3-502X,https://fr.milwaukeetool.eu/fr-fr/m18-fuel-perceuse-a-percussion-one-key-avec-autostop/m18-onepd3/,,,"0 - 33,000",,16,5.0,89,,,13,16,,M12-18 FC,,158,,,,HD Box,"2 x M18 B5 Packs Batteries, M12-18 FC Chargeur, HD Box",Clip de ceinture et poignée transversale,95.78,106.78,,,,4058546476724,,2.2 (M18 B5),,4933492801,2,18,,1.5,1.5,1.5,3,3,,Li-ion,11.3,1.85,1.48,,,,,,0 - 500,"0 - 2,100"
Perceuses à percussion,M18 ONEPD3,M18 FUEL™ PERCEUSE À PERCUSSION ONE-KEY™ AVEC AUTOSTOP™,M18 ONEPD3-0X,https://fr.milwaukeetool.eu/fr-fr/m18-fuel-perceuse-a-percussion-one-key-avec-autostop/m18-onepd3/,,,"0 - 33,000",,16,Aucune batterie fournie,89,,,13,16,Aucun chargeur fourni,Aucun chargeur fourni,,158,,,,HD Box,,Clip de ceinture et poignée transversale,95.78,106.78,,,,4058546476694,,2.2 (M18 B5),,4933492798,2,18,,1.5,1.5,1.5,3,3,,Li-ion,11.3,1.85,1.48,,,,,,0 - 500,"0 - 2,100"
Perceuses à percussion,M12 FPD2,M12 FUEL™ PERCEUSE À PERCUSSION,M12 FPD2-602X,https://fr.milwaukeetool.eu/fr-fr/m12-fuelperceuse-a-percussion/m12-fpd2/,,,"0 - 22,500",,13,6.0,35,,,13,13,,C12 C,,45,,,,HD Box,"2 x M12 B6 Packs Batteries, C12 C Chargeur, HD Box","Clip de ceinture, porte embout",89,100,,,,4058546376642,,1.4 (M12 B6),,4933479870,2,12,,1.5,1.5,1.5,3,3,,Li-ion,15.73,1.92,0.86,,,,8,,0 - 450,"0 - 1,550"
Perceuses à percussion,M12 FPD2,M12 FUEL™ PERCEUSE À PERCUSSION,M12 FPD2-402X,https://fr.milwaukeetool.eu/fr-fr/m12-fuelperceuse-a-percussion/m12-fpd2/,,,"0 - 22,500",,13,4.0,35,,,13,13,,C12 C,,45,,,,HD Box,"2 x M12 B4 Packs Batteries, C12 C Chargeur, HD Box","Clip de ceinture, porte embout",89,100,,,,4058546376635,,1.4 (M12 B4),,4933479869,2,12,,1.5,1.5,1.5,3,3,,Li-ion,15.73,1.92,0.86,,,,8,,0 - 450,"0 - 1,550"
Perceuses à percussion,M12 FPD2,M12 FUEL™ PERCEUSE À PERCUSSION,M12 FPD2-202X,https://fr.milwaukeetool.eu/fr-fr/m12-fuelperceuse-a-percussion/m12-fpd2/,,,"0 - 22,500",,13,2.0,35,,,13,13,,C12 C,,37,,,,HD Box,"2 x M12 B2 Packs Batteries, C12 C Chargeur, HD Box","Clip de ceinture, porte embout",89.3,100,,,,4058546376628,,1.1 (M12 B2),,4933479868,2,12,,1.5,1.5,1.5,3,3,,Li-ion,15.73,1.92,0.86,,,,8,,0 - 450,"0 - 1,550"
Perceuses à percussion,M12 FPD2,M12 FUEL™ PERCEUSE À PERCUSSION,M12 FPD2-0,https://fr.milwaukeetool.eu/fr-fr/m12-fuelperceuse-a-percussion/m12-fpd2/,,,"0 - 22,500",,13,,35,,,13,13,,Aucun chargeur fourni,,45,,,,Aucun sac ni box fourni,,"Clip de ceinture, porte embout",89.3,100,,,,4058546376611,,1.4 (M12 B6),,4933479867,2,12,,1.5,1.5,1.5,3,3,,Li-ion,15.73,1.92,0.86,,,,8,,0 - 450,"0 - 1,550"
Perceuses à percussion,M18 BLPD2,M18™ BRUSHLESS PERCEUSE À PERCUSSION,M18 BLPD2-502X,https://fr.milwaukeetool.eu/fr-fr/m18-brushless-perceuse-a-percussion/m18-blpd2/,,,"0 - 28,800",,13,5.0,76,,,13,16,59 min,M12-18 FC,,82,,,,HD Box,"2 x M18 B5 Packs Batteries, M12-18 FC Chargeur, HD Box","Clip de ceinture, poignée latérale",92,103,,,2,4058546224622,,2.1 (M18 B5),,4933464517,2,18,,,1.5,1.5,3,3,,Li-ion,,1.86,2.18,11.85,1.5,,,,0 - 550,"0 - 1,800"
Perceuses à percussion,M18 BLPD2,M18™ BRUSHLESS PERCEUSE À PERCUSSION,M18 BLPD2-402X,https://fr.milwaukeetool.eu/fr-fr/m18-brushless-perceuse-a-percussion/m18-blpd2/,,,"0 - 28,800",,13,4.0,76,,,13,16,47 min,M12-18 FC,,82,,,,HD Box,"2 x M18 B4 Packs Batteries, M12-18 FC Chargeur, HD Box","Clip de ceinture, poignée latérale",92,103,,,2,4058546225056,,2.1 (M18 B4),,4933464560,2,18,,,1.5,1.5,3,3,,Li-ion,,1.86,2.18,11.85,1.5,,,,0 - 550,"0 - 1,800"
Perceuses à percussion,M18 BLPD2,M18™ BRUSHLESS PERCEUSE À PERCUSSION,M18 BLPD2-0X,https://fr.milwaukeetool.eu/fr-fr/m18-brushless-perceuse-a-percussion/m18-blpd2/,,,"0 - 28,800",,13,Aucune batterie fournie,76,,,13,16,Aucun chargeur fourni,Aucun chargeur fourni,,82,,,,HD Box,,"Clip de ceinture, poignée latérale",92,103,,,0,4058546224615,,2.1 (M18 B5),,4933464516,2,18,,,1.5,1.5,3,3,,Li-ion,,1.86,2.18,11.85,1.5,,,,0 - 550,"0 - 1,800"
Perceuses à percussion,M12 FPDX,M12 FUEL™ PERCEUSE À PERCUSSION 6 EN 1 AVEC MANDRINS AMOVIBLES,M12 FPDXKIT-202X,https://fr.milwaukeetool.eu/fr-fr/m12-fuel-perceuse-a-percussion-6-en-1-avec-mandrins-amovibles/m12-fpdx/,,,"0 - 25,500",,13,2.0,35,,,13,13,40 min,C12 C,,37,,,,HD Box,"2 x M12 B2 Packs Batteries, C12 C Chargeur, HD Box","Mandrins FIXTEC™ amovibles dont renvoi d'angle, HD-Box",89,100,,,2,4058546220839,,1.2 (M12 B2),,4933464138,2,12,,,1.5,1.5,3,3,,Li-ion,,1.92,0.86,15.73,1.5,,8,,0 - 450,"0 - 1,700"
Perceuses à percussion,M12 FPDX,M12 FUEL™ PERCEUSE À PERCUSSION 6 EN 1 AVEC MANDRINS AMOVIBLES,M12 FPDX-202X,https://fr.milwaukeetool.eu/fr-fr/m12-fuel-perceuse-a-percussion-6-en-1-avec-mandrins-amovibles/m12-fpdx/,,,"0 - 25,500",,13,2.0,35,,,13,13,40 min,C12 C,,37,,,,HD Box,"2 x M12 B2 Packs Batteries, C12 C Chargeur, HD Box","Mandrin FIXTEC™ amovible, HD-Box",89,100,,,2,4058546220815,,1.2 (M12 B2),,4933464136,2,12,,,1.5,1.5,3,3,,Li-ion,,1.92,0.86,15.73,1.5,,8,,0 - 450,"0 - 1,700"
Perceuses à percussion,M12 FPDX,M12 FUEL™ PERCEUSE À PERCUSSION 6 EN 1 AVEC MANDRINS AMOVIBLES,M12 FPDX-0,https://fr.milwaukeetool.eu/fr-fr/m12-fuel-perceuse-a-percussion-6-en-1-avec-mandrins-amovibles/m12-fpdx/,,,"0 - 25,500",,13,Aucune batterie fournie,35,,,13,13,Aucun chargeur fourni,Aucun chargeur fourni,,44,,,,Aucun sac ni box fourni,,Mandrins FIXTEC™,89,100,,,0,4058546220808,,1.2 (M12 B2),,4933464135,2,12,,,1.5,1.5,3,3,,Li-ion,,1.92,0.86,15.73,1.5,,8,,0 - 450,"0 - 1,700"
Perceuses à percussion,M18 BPD,M18™ PERCEUSE À PERCUSSION COMPACTE,M18 BPD-402X,https://fr.milwaukeetool.eu/fr-fr/m18-perceuse-a-percussion-compacte/m18-bpd/,,,"0 - 28,800",,13,4.0,38,,,13,16,80 min,M12-18 C,,60,,,,HD Box,"2 x M18 B4 Packs Batteries, M12-18 C Chargeur, HD Box",,84.7,95.7,,,2,4002395004881,,2.1 (M18 B4),,4933446192,,18,,1.5,1.5,1.5,3,3,,Li-ion,13,0.95,0.66,,,,7,,0 - 450,0 - 1800
